 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
396,32,104.719,72,162,225,131.729,61,296,208,113.692,59,215
397,32,104.812,63,171,225,131.791,59,334,208,114.130,59,216
398,32,106.688,70,181,225,131.969,64,297,208,114.851,56,227
399,32,106.438,70,168,225,133.040,63,286,208,114.562,61,214
400,32,106.062,77,186,225,131.316,62,290,208,114.678,58,228
401,32,107.562,72,194,225,133.436,60,279,208,114.856,60,211
402,32,109.375,63,179,225,132.951,56,301,208,115.014,58,225
403,32,106.000,73,175,225,131.653,56,285,208,114.889,55,224
404,32,107.062,70,197,225,132.369,59,300,208,115.221,57,229
405,32,108.531,66,176,225,131.209,49,278,208,113.745,61,230
406,32,105.250,72,179,225,131.907,61,294,208,114.750,61,239
407,32,104.750,75,159,225,131.764,53,304,208,114.841,55,235
408,32,109.562,72,165,225,132.796,44,299,208,113.649,58,218
409,32,104.250,68,162,225,132.729,62,318,208,115.173,65,233
410,32,105.500,70,166,225,132.596,56,310,208,114.361,58,224
411,32,104.656,70,140,225,132.493,54,285,208,114.452,55,237
412,32,107.219,80,151,225,134.360,53,309,208,113.731,61,250
413,32,106.719,69,171,225,131.716,57,283,208,114.188,55,229
414,32,106.469,63,155,225,131.373,56,270,208,113.875,60,226
415,32,103.719,67,146,225,131.600,57,315,208,114.601,60,215
416,32,108.156,70,161,225,132.049,58,268,208,114.106,61,234
417,32,104.250,61,158,225,132.658,58,294,208,115.236,66,230
418,32,105.250,66,160,225,131.404,60,313,208,114.365,60,221
419,32,105.656,76,158,225,131.956,59,275,208,113.904,59,245
420,32,104.406,75,135,225,132.849,57,289,208,114.894,58,272
421,32,105.219,71,144,225,132.564,60,288,208,114.808,58,311
422,32,106.438,75,163,225,131.871,59,294,208,114.510,60,304
423,32,107.688,75,148,225,132.902,53,292,208,115.322,61,355
424,32,106.094,71,159,225,133.022,55,282,208,116.106,57,342
425,32,104.094,76,160,225,132.511,58,290,208,116.288,63,351
426,32,107.219,74,164,225,132.680,55,281,208,115.769,62,359
427,32,105.656,65,151,225,132.236,59,254,208,115.740,62,361
